localminute,use,gen,grid,Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water
2016-01-01 00:00:00-06,4.875616666666667,0.0,4.875616666666667,1,1,0,0,0,0,0,0,0,7,100.56,2.021
2016-01-01 01:00:00-06,3.5378833333333333,0.0,3.5378833333333333,1,1,1,0,0,0,0,0,0,6,112.9,2.049
2016-01-01 02:00:00-06,0.9883333333333332,0.0,0.9883333333333332,1,1,2,0,0,0,0,0,0,6,125.59,2.037
2016-01-01 03:00:00-06,2.890966666666667,0.0,2.890966666666667,1,1,3,0,0,0,0,0,0,6,138.48,2.021
2016-01-01 04:00:00-06,6.893583333333333,0.0,6.893583333333333,1,1,4,0,0,0,0,0,0,6,151.39,2.027
2016-01-01 05:00:00-06,0.9792,0.0,0.9792,1,1,5,0,0,0,0,0,0,6,163.89,2.059
2016-01-01 06:00:00-06,2.4331,0.0,2.4331,1,1,6,0,0,0,0,0,0,6,172.6,2.103
2016-01-01 07:00:00-06,6.925,0.0,6.9200833333333325,1,1,7,0,0,0,0,0,0,6,165.58,2.154
2016-01-01 08:00:00-06,0.9915,0.30065,0.6908,1,1,8,0,0,0,0,0,0,5,153.23,2.212
2016-01-01 09:00:00-06,1.3375,0.4837166666666666,0.8538333333333331,1,1,9,0,0,0,0,0,0,5,140.34,2.258
2016-01-01 10:00:00-06,2.6664833333333333,0.9366333333333332,1.7299666666666669,1,1,10,0,0,0,0,0,0,5,127.44,2.285
2016-01-01 11:00:00-06,3.0416166666666666,1.6797,1.3619333333333332,1,1,11,0,0,0,0,0,0,4,114.71,2.302
2016-01-01 12:00:00-06,2.7048666666666668,1.1674833333333332,1.53735,1,1,12,0,0,0,0,0,0,4,102.3,2.32
2016-01-01 13:00:00-06,0.9679,0.9276333333333332,0.04025,1,1,13,0,0,0,0,0,0,4,90.4,2.339
2016-01-01 14:00:00-06,0.9663333333333332,0.6804666666666666,0.2859,1,1,14,53,0,53,57,453,141,4,79.28,2.343
2016-01-01 15:00:00-06,0.9959833333333332,0.2354166666666666,0.7604833333333331,1,1,15,120,0,120,83,670,319,4,69.34,2.3280000000000003
2016-01-01 16:00:00-06,6.968666666666667,0.07528333333333333,6.8933833333333325,1,1,16,209,70,243,95,777,470,5,61.17,2.305
2016-01-01 17:00:00-06,2.1471,0.0,2.145233333333333,1,1,17,237,360,441,99,833,570,6,55.57,2.285
2016-01-01 18:00:00-06,2.728533333333333,0.0,2.728533333333333,1,1,18,228,21,241,101,851,609,6,53.38,2.275
2016-01-01 19:00:00-06,1.81665,0.0,1.81665,1,1,19,171,0,171,98,842,581,6,54.99,2.271
2016-01-01 20:00:00-06,1.0461166666666668,0.0,1.0461166666666668,1,1,20,199,31,214,92,800,491,6,60.12000000000001,2.266
2016-01-01 21:00:00-06,1.1093166666666667,0.0,1.1093166666666667,1,1,21,20,0,20,80,713,348,6,67.95,2.261
2016-01-01 22:00:00-06,1.1164666666666667,0.0,1.1164666666666667,1,1,22,9,0,9,58,532,172,5,77.66,2.259
2016-01-01 23:00:00-06,1.1214666666666668,0.0,1.1214666666666668,1,1,23,0,0,0,12,87,14,4,88.63,2.265
2016-01-02 00:00:00-06,1.1175,0.0,1.1175,1,2,0,0,0,0,0,0,0,4,100.43,2.273
2016-01-02 01:00:00-06,1.12005,0.0,1.12005,1,2,1,0,0,0,0,0,0,4,112.77,2.282
2016-01-02 02:00:00-06,1.1149666666666669,0.0,1.1149666666666669,1,2,2,0,0,0,0,0,0,4,125.46,2.294
2016-01-02 03:00:00-06,1.4858333333333331,0.0,1.4858333333333331,1,2,3,0,0,0,0,0,0,4,138.35,2.306
2016-01-02 04:00:00-06,1.1124833333333333,0.0,1.1124833333333333,1,2,4,0,0,0,0,0,0,4,151.26,2.311
2016-01-02 05:00:00-06,1.1086166666666668,0.0,1.1086166666666668,1,2,5,0,0,0,0,0,0,4,163.76,2.2960000000000003
2016-01-02 06:00:00-06,1.09905,0.0,1.09905,1,2,6,0,0,0,0,0,0,4,172.51,2.265
2016-01-02 07:00:00-06,1.0898333333333332,0.0,1.0889333333333333,1,2,7,0,0,0,0,0,0,4,165.63,2.238
2016-01-02 08:00:00-06,2.09915,0.05416666666666666,2.04485,1,2,8,0,0,0,0,0,0,4,153.3,2.23
2016-01-02 09:00:00-06,2.6503666666666668,0.1857,2.46465,1,2,9,0,0,0,0,0,0,4,140.41,2.24
2016-01-02 10:00:00-06,3.0142333333333333,0.4831,2.5311833333333333,1,2,10,0,0,0,0,0,0,4,127.51,2.265
2016-01-02 11:00:00-06,1.91065,0.6034166666666666,1.307316666666667,1,2,11,0,0,0,0,0,0,4,114.77,2.3040000000000003
2016-01-02 12:00:00-06,1.01425,0.4394,0.5748666666666666,1,2,12,0,0,0,0,0,0,4,102.36,2.35
2016-01-02 13:00:00-06,1.0123166666666663,0.5151333333333332,0.4971333333333332,1,2,13,0,0,0,0,0,0,4,90.44,2.39
2016-01-02 14:00:00-06,3.78,0.6607666666666666,3.119216666666667,1,2,14,11,0,11,52,488,143,4,79.31,2.418
2016-01-02 15:00:00-06,12.854983333333331,0.4451333333333333,12.409883333333331,1,2,15,25,0,25,75,702,322,5,69.35000000000001,2.436
2016-01-02 16:00:00-06,1.8220666666666667,0.1211833333333333,1.7008833333333333,1,2,16,208,65,239,87,796,472,5,61.15,2.449
2016-01-02 17:00:00-06,1.4371166666666668,0.0,1.4361833333333331,1,2,17,250,65,287,95,839,570,6,55.52,2.4530000000000003
2016-01-02 18:00:00-06,1.11065,0.0,1.11065,1,2,18,59,0,59,96,859,610,6,53.29,2.441
2016-01-02 19:00:00-06,1.1191,0.0,1.1191,1,2,19,122,0,122,92,855,584,7,54.88,2.4130000000000003
2016-01-02 20:00:00-06,1.12255,0.0,1.12255,1,2,20,158,0,158,84,823,496,8,59.99,2.396
2016-01-02 21:00:00-06,1.12585,0.0,1.12585,1,2,21,105,0,105,74,738,353,7,67.81,2.397
2016-01-02 22:00:00-06,1.1378833333333331,0.0,1.1378833333333331,1,2,22,52,0,52,53,570,176,6,77.52,2.3930000000000002
2016-01-02 23:00:00-06,1.1392,0.0,1.1392,1,2,23,4,0,4,12,127,16,5,88.49,2.375
2016-01-03 00:00:00-06,1.4427166666666669,0.0,1.4427166666666669,1,3,0,0,0,0,0,0,0,5,100.29,2.356
2016-01-03 01:00:00-06,1.1739333333333333,0.0,1.1739333333333333,1,3,1,0,0,0,0,0,0,5,112.64,2.346
2016-01-03 02:00:00-06,1.1442,0.0,1.1442,1,3,2,0,0,0,0,0,0,4,125.33,2.336
2016-01-03 03:00:00-06,1.14,0.0,1.14,1,3,3,0,0,0,0,0,0,4,138.22,2.322
2016-01-03 04:00:00-06,1.1385,0.0,1.1385,1,3,4,0,0,0,0,0,0,4,151.12,2.301
2016-01-03 05:00:00-06,1.13555,0.0,1.13555,1,3,5,0,0,0,0,0,0,4,163.62,2.277
2016-01-03 06:00:00-06,1.1211833333333332,0.0,1.1211833333333332,1,3,6,0,0,0,0,0,0,4,172.4,2.254
2016-01-03 07:00:00-06,1.95465,0.0,1.949466666666667,1,3,7,0,0,0,0,0,0,4,165.67000000000004,2.225
2016-01-03 08:00:00-06,3.1318,0.1337833333333333,2.998016666666667,1,3,8,0,0,0,0,0,0,4,153.37,2.177
2016-01-03 09:00:00-06,2.6877,0.3405333333333333,2.347183333333333,1,3,9,0,0,0,0,0,0,4,140.48,2.092
2016-01-03 10:00:00-06,2.72755,1.4935166666666668,1.2339166666666668,1,3,10,0,0,0,0,0,0,4,127.57,1.967
2016-01-03 11:00:00-06,2.759183333333333,2.063266666666667,0.6959333333333332,1,3,11,0,0,0,0,0,0,4,114.83,1.82
2016-01-03 12:00:00-06,2.6026833333333332,2.5153,0.08735,1,3,12,0,0,0,0,0,0,4,102.41,1.679
